,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
434,2462,良得電,股票,電子零組件業,2001/09/17
435,2464,盟立,股票,其他電子業,2001/09/17
436,2465,麗臺,股票,電腦及週邊設備業,2001/09/19
437,2466,冠西電,股票,光電業,2001/09/17
438,2467,志聖,股票,電子零組件業,2001/09/17
439,2468,華經,股票,資訊服務業,2001/09/17
440,2471,資通,股票,資訊服務業,2001/09/17
441,2472,立隆電,股票,電子零組件業,2001/09/17
442,2474,可成,股票,其他電子業,2001/09/17
443,2476,鉅祥,股票,電子零組件業,2001/09/17
444,2477,美隆電,股票,其他電子業,2001/09/17
445,2478,大毅,股票,電子零組件業,2001/09/17
446,2480,敦陽科,股票,資訊服務業,2001/09/17
447,2481,強茂,股票,半導體業,2001/09/17
448,2482,連宇,股票,其他電子業,2001/09/17
449,2483,百容,股票,電子零組件業,2001/09/17
450,2484,希華,股票,電子零組件業,2001/09/17
451,2485,兆赫,股票,通信網路業,2001/09/17
452,2486,一詮,股票,光電業,2001/09/19
453,2488,漢平,股票,其他電子業,2001/09/17
454,2489,瑞軒,股票,光電業,2001/09/17
455,2491,吉祥全,股票,光電業,2001/09/17
456,2492,華新科,股票,電子零組件業,2001/09/17
457,2493,揚博,股票,電子零組件業,2002/01/23
458,2495,普安,股票,其他電子業,2002/03/25
459,2496,卓越,股票,其他業,2002/03/08
460,2497,怡利電,股票,汽車工業,2002/02/04
461,2498,宏達電,股票,通信網路業,2002/03/26
462,2501,國建,股票,建材營造業,1967/10/28
463,2504,國產,股票,建材營造業,1978/03/14
464,2505,國揚,股票,建材營造業,1979/11/14
465,2506,太設,股票,建材營造業,1980/02/02
466,2509,全坤建,股票,建材營造業,1988/05/20
467,2511,太子,股票,建材營造業,1991/04/24
468,2514,龍邦,股票,其他業,1992/09/26
469,2515,中工,股票,建材營造業,1993/03/02
470,2516,新建,股票,建材營造業,1993/05/25
471,2520,冠德,股票,建材營造業,1993/10/27
472,2524,京城,股票,建材營造業,1994/10/18
473,2527,宏璟,股票,建材營造業,1995/03/06
474,2528,皇普,股票,建材營造業,1995/03/10
475,2530,華建,股票,建材營造業,1995/10/12
476,2534,宏盛,股票,建材營造業,1996/02/12
477,2535,達欣工,股票,建材營造業,1996/03/11
478,2536,宏普,股票,建材營造業,1996/03/14
479,2537,聯上發,股票,建材營造業,1996/09/06
480,2538,基泰,股票,建材營造業,1996/11/01
481,2539,櫻花建,股票,建材營造業,1997/07/16
482,2540,愛山林,股票,建材營造業,1989/12/26
483,2542,興富發,股票,建材營造業,1999/05/03
484,2543,皇昌,股票,建材營造業,1999/10/15
485,2545,皇翔,股票,建材營造業,2000/09/11
486,2546,根基,股票,建材營造業,2000/09/11
487,2547,日勝生,股票,建材營造業,2000/12/22
